timestamp	pid	state	cpu_percent	rss_kb	rss_mb	threads	elapsed	command
2026-07-19T08:53:32+00:00	5797	R	100	8028	7.84	1	00:00	agent-leak-app-
2026-07-19T08:53:33+00:00	5797	SN	3.9	16696	16.30	1	00:01	agent-leak-app-
2026-07-19T08:53:34+00:00	5797	SN	1.9	16696	16.30	1	00:02	agent-leak-app-
2026-07-19T08:53:35+00:00	5797	SN	1.3	16760	16.37	1	00:03	agent-leak-app-
2026-07-19T08:53:36+00:00	5797	SN	0.9	16760	16.37	1	00:04	agent-leak-app-
2026-07-19T08:53:37+00:00	5797	SN	0.7	16760	16.37	1	00:05	agent-leak-app-
2026-07-19T08:53:38+00:00	5797	SN	0.9	16760	16.37	1	00:06	agent-leak-app-
2026-07-19T08:53:39+00:00	5797	SN	0.8	16760	16.37	1	00:07	agent-leak-app-
2026-07-19T08:53:40+00:00	5797	SN	0.7	16760	16.37	1	00:08	agent-leak-app-
2026-07-19T08:53:41+00:00	5797	SN	0.8	16760	16.37	1	00:09	agent-leak-app-
2026-07-19T08:53:42+00:00	5797	SN	0.7	16760	16.37	1	00:10	agent-leak-app-
2026-07-19T08:53:43+00:00	5797	SN	0.7	16760	16.37	1	00:11	agent-leak-app-
2026-07-19T08:53:44+00:00	5797	SN	0.8	16760	16.37	1	00:12	agent-leak-app-
2026-07-19T08:53:45+00:00	5797	SN	0.7	16760	16.37	1	00:13	agent-leak-app-
2026-07-19T08:53:46+00:00	5797	SN	0.7	16760	16.37	1	00:14	agent-leak-app-
2026-07-19T08:53:47+00:00	5797	SN	0.8	16760	16.37	1	00:15	agent-leak-app-
2026-07-19T08:53:48+00:00	5797	SN	0.8	16760	16.37	1	00:16	agent-leak-app-
2026-07-19T08:53:49+00:00	5797	SN	0.7	16760	16.37	1	00:17	agent-leak-app-
2026-07-19T08:53:50+00:00	5797	SN	0.8	16760	16.37	1	00:18	agent-leak-app-
2026-07-19T08:53:51+00:00	5797	SN	0.8	16760	16.37	1	00:19	agent-leak-app-
2026-07-19T08:53:52+00:00	5797	SN	0.7	16760	16.37	1	00:20	agent-leak-app-
2026-07-19T08:53:53+00:00	5797	SN	0.8	16760	16.37	1	00:21	agent-leak-app-
2026-07-19T08:53:54+00:00	5797	SN	0.8	16760	16.37	1	00:22	agent-leak-app-
2026-07-19T08:53:55+00:00	5797	SN	0.8	16760	16.37	1	00:23	agent-leak-app-
2026-07-19T08:53:56+00:00	5797	SN	0.9	16760	16.37	1	00:24	agent-leak-app-
2026-07-19T08:53:57+00:00	5797	SN	0.9	16760	16.37	1	00:25	agent-leak-app-
2026-07-19T08:53:58+00:00	5797	SN	0.8	16760	16.37	1	00:26	agent-leak-app-
2026-07-19T08:53:59+00:00	5797	SN	1.0	16760	16.37	1	00:27	agent-leak-app-
2026-07-19T08:54:00+00:00	5797	SN	0.9	16760	16.37	1	00:28	agent-leak-app-
2026-07-19T08:54:01+00:00	5797	SN	0.9	16760	16.37	1	00:29	agent-leak-app-
