timestamp	pid	state	cpu_percent	rss_kb	rss_mb	threads	elapsed	command
2026-07-19T08:54:04+00:00	6168	R	0.0	8332	8.14	1	00:00	agent-leak-app-
2026-07-19T08:54:05+00:00	6168	SN	2.9	16684	16.29	1	00:01	agent-leak-app-
2026-07-19T08:54:06+00:00	6168	SN	1.4	16684	16.29	1	00:02	agent-leak-app-
2026-07-19T08:54:07+00:00	6168	SNl	1.9	42548	41.55	3	00:03	agent-leak-app-
2026-07-19T08:54:08+00:00	6168	SNl	1.4	42548	41.55	3	00:04	agent-leak-app-
2026-07-19T08:54:09+00:00	6168	SNl	1.1	42548	41.55	3	00:05	agent-leak-app-
2026-07-19T08:54:10+00:00	6168	SNl	1.3	68152	66.55	3	00:06	agent-leak-app-
2026-07-19T08:54:11+00:00	6168	SNl	1.1	68152	66.55	3	00:07	agent-leak-app-
2026-07-19T08:54:12+00:00	6168	SNl	0.9	68152	66.55	3	00:08	agent-leak-app-
2026-07-19T08:54:13+00:00	6168	SNl	0.9	93756	91.56	3	00:09	agent-leak-app-
2026-07-19T08:54:14+00:00	6168	SNl	0.9	93756	91.56	3	00:10	agent-leak-app-
2026-07-19T08:54:15+00:00	6168	SNl	0.8	93756	91.56	3	00:11	agent-leak-app-
2026-07-19T08:54:16+00:00	6168	SNl	0.9	119360	116.56	3	00:12	agent-leak-app-
2026-07-19T08:54:17+00:00	6168	SNl	0.9	119360	116.56	3	00:13	agent-leak-app-
2026-07-19T08:54:18+00:00	6168	SNl	0.8	119360	116.56	3	00:14	agent-leak-app-
2026-07-19T08:54:19+00:00	6168	SNl	0.7	144964	141.57	3	00:15	agent-leak-app-
2026-07-19T08:54:20+00:00	6168	SNl	0.8	144964	141.57	3	00:16	agent-leak-app-
2026-07-19T08:54:21+00:00	6168	SNl	0.7	144964	141.57	3	00:17	agent-leak-app-
2026-07-19T08:54:23+00:00	6168	SNl	0.7	170568	166.57	3	00:18	agent-leak-app-
2026-07-19T08:54:24+00:00	6168	SNl	0.8	170568	166.57	3	00:19	agent-leak-app-
2026-07-19T08:54:25+00:00	6168	SNl	0.7	170568	166.57	3	00:20	agent-leak-app-
2026-07-19T08:54:26+00:00	6168	SNl	0.8	196172	191.57	3	00:21	agent-leak-app-
2026-07-19T08:54:27+00:00	6168	SNl	0.7	196172	191.57	3	00:22	agent-leak-app-
2026-07-19T08:54:28+00:00	6168	SNl	0.7	196172	191.57	3	00:23	agent-leak-app-
2026-07-19T08:54:29+00:00	6168	SNl	0.7	221776	216.58	3	00:24	agent-leak-app-
2026-07-19T08:54:30+00:00	6168	SNl	0.7	221776	216.58	3	00:25	agent-leak-app-
2026-07-19T08:54:31+00:00	6168	SNl	0.7	221776	216.58	3	00:26	agent-leak-app-
2026-07-19T08:54:32+00:00	6168	SNl	0.7	247380	241.58	3	00:27	agent-leak-app-
2026-07-19T08:54:33+00:00	6168	SNl	0.7	247380	241.58	3	00:28	agent-leak-app-
2026-07-19T08:54:34+00:00	6168	SNl	0.7	247380	241.58	3	00:29	agent-leak-app-
2026-07-19T08:54:35+00:00	6168	SNl	0.7	272984	266.59	3	00:30	agent-leak-app-
2026-07-19T08:54:36+00:00	6168	SNl	0.7	272984	266.59	3	00:31	agent-leak-app-
2026-07-19T08:54:37+00:00	6168	SNl	0.7	272984	266.59	3	00:32	agent-leak-app-
2026-07-19T08:54:38+00:00	6168	SNl	0.7	298588	291.59	3	00:33	agent-leak-app-
2026-07-19T08:54:39+00:00	6168	SNl	0.7	298588	291.59	3	00:34	agent-leak-app-
2026-07-19T08:54:40+00:00	6168	SNl	0.7	298588	291.59	3	00:35	agent-leak-app-
2026-07-19T08:54:41+00:00	6168	SNl	0.7	324192	316.59	3	00:36	agent-leak-app-
2026-07-19T08:54:42+00:00	6168	SNl	0.7	324192	316.59	3	00:37	agent-leak-app-
2026-07-19T08:54:43+00:00	6168	SNl	0.7	324192	316.59	3	00:38	agent-leak-app-
2026-07-19T08:54:44+00:00	6168	SNl	0.7	349796	341.60	3	00:39	agent-leak-app-
2026-07-19T08:54:45+00:00	6168	SNl	0.7	349796	341.60	3	00:40	agent-leak-app-
2026-07-19T08:54:46+00:00	6168	SNl	0.6	349796	341.60	3	00:41	agent-leak-app-
2026-07-19T08:54:47+00:00	6168	SNl	0.7	375400	366.60	3	00:42	agent-leak-app-
2026-07-19T08:54:48+00:00	6168	SNl	0.6	375400	366.60	3	00:43	agent-leak-app-
2026-07-19T08:54:49+00:00	6168	SNl	0.6	375400	366.60	3	00:44	agent-leak-app-
2026-07-19T08:54:50+00:00	6168	SNl	0.7	401004	391.61	3	00:45	agent-leak-app-
