  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 6168  6163 analyst  SNl   0.7  1.8 144964   3       00:15 agent-leak-app-
 6163     1 analyst  S     0.4  0.0  1564    1       00:15 agent-leak-app-
 6172     1 analyst  S     0.0  0.0  2744    1       00:15 bash
 6173     1 analyst  S     0.0  0.0  4376    1       00:15 top
 6174     1 analyst  S     0.0  0.0  2052    1       00:15 bash
    1     0 analyst  Ss    0.0  0.0  3832    1    17:33:35 bash
 6296  6174 analyst  S     0.0  0.0  1108    1       00:00 sleep
 6297  6172 analyst  S     0.0  0.0  1108    1       00:00 sleep
 6298     1 analyst  S+    0.0  0.0  2716    1       00:00 bash
 6302  6298 analyst  R+    0.0  0.0  3860    1       00:00 ps
 6303  6298 analyst  S+    0.0  0.0  1056    1       00:00 head
