timestamp	pid	state	cpu_percent	rss_kb	rss_mb	threads	elapsed	command
2026-07-19T09:03:56+00:00	7123	R	0.0	8544	8.34	1	00:00	agent-leak-app-
2026-07-19T09:03:57+00:00	7123	SN	3.8	16700	16.31	1	00:01	agent-leak-app-
2026-07-19T09:03:58+00:00	7123	SN	1.9	16700	16.31	1	00:02	agent-leak-app-
2026-07-19T09:03:59+00:00	7123	SNl	1.9	42564	41.57	3	00:03	agent-leak-app-
2026-07-19T09:04:00+00:00	7123	SNl	1.4	42564	41.57	3	00:04	agent-leak-app-
2026-07-19T09:04:01+00:00	7123	SNl	1.1	42564	41.57	3	00:05	agent-leak-app-
2026-07-19T09:04:02+00:00	7123	SNl	1.3	68168	66.57	3	00:06	agent-leak-app-
2026-07-19T09:04:03+00:00	7123	SNl	1.1	68168	66.57	3	00:07	agent-leak-app-
2026-07-19T09:04:04+00:00	7123	SNl	0.9	68168	66.57	3	00:08	agent-leak-app-
2026-07-19T09:04:05+00:00	7123	SNl	0.9	93772	91.57	3	00:09	agent-leak-app-
2026-07-19T09:04:06+00:00	7123	SNl	0.9	93772	91.57	3	00:10	agent-leak-app-
2026-07-19T09:04:07+00:00	7123	SNl	0.8	93772	91.57	3	00:11	agent-leak-app-
2026-07-19T09:04:08+00:00	7123	SNl	0.8	119376	116.58	3	00:12	agent-leak-app-
2026-07-19T09:04:09+00:00	7123	SNl	0.7	119376	116.58	3	00:13	agent-leak-app-
2026-07-19T09:04:10+00:00	7123	SNl	0.7	119376	116.58	3	00:14	agent-leak-app-
2026-07-19T09:04:11+00:00	7123	SNl	0.7	144980	141.58	3	00:15	agent-leak-app-
2026-07-19T09:04:12+00:00	7123	SNl	0.7	144980	141.58	3	00:16	agent-leak-app-
2026-07-19T09:04:13+00:00	7123	SNl	0.6	144980	141.58	3	00:17	agent-leak-app-
2026-07-19T09:04:14+00:00	7123	SNl	0.6	170584	166.59	3	00:18	agent-leak-app-
2026-07-19T09:04:15+00:00	7123	SNl	0.6	170584	166.59	3	00:19	agent-leak-app-
2026-07-19T09:04:16+00:00	7123	SNl	0.6	170584	166.59	3	00:20	agent-leak-app-
2026-07-19T09:04:17+00:00	7123	SNl	0.6	196188	191.59	3	00:21	agent-leak-app-
2026-07-19T09:04:18+00:00	7123	SNl	0.6	196188	191.59	3	00:22	agent-leak-app-
2026-07-19T09:04:19+00:00	7123	SNl	0.6	196188	191.59	3	00:23	agent-leak-app-
2026-07-19T09:04:20+00:00	7123	SNl	0.6	221792	216.59	3	00:24	agent-leak-app-
2026-07-19T09:04:21+00:00	7123	SNl	0.6	221792	216.59	3	00:25	agent-leak-app-
2026-07-19T09:04:22+00:00	7123	SNl	0.6	221792	216.59	3	00:26	agent-leak-app-
2026-07-19T09:04:23+00:00	7123	SNl	0.6	247396	241.60	3	00:27	agent-leak-app-
2026-07-19T09:04:24+00:00	7123	SNl	0.6	247396	241.60	3	00:28	agent-leak-app-
2026-07-19T09:04:25+00:00	7123	SNl	0.5	247396	241.60	3	00:29	agent-leak-app-
2026-07-19T09:04:26+00:00	7123	SNl	0.5	273000	266.60	3	00:30	agent-leak-app-
2026-07-19T09:04:27+00:00	7123	SNl	0.6	273000	266.60	3	00:31	agent-leak-app-
2026-07-19T09:04:28+00:00	7123	SNl	0.5	273000	266.60	3	00:32	agent-leak-app-
2026-07-19T09:04:29+00:00	7123	SNl	0.5	298604	291.61	3	00:33	agent-leak-app-
2026-07-19T09:04:30+00:00	7123	SNl	0.5	298604	291.61	3	00:34	agent-leak-app-
2026-07-19T09:04:31+00:00	7123	SNl	0.5	298604	291.61	3	00:35	agent-leak-app-
2026-07-19T09:04:32+00:00	7123	SNl	0.5	324208	316.61	3	00:36	agent-leak-app-
2026-07-19T09:04:33+00:00	7123	SNl	0.5	324208	316.61	3	00:37	agent-leak-app-
2026-07-19T09:04:34+00:00	7123	SNl	0.5	324208	316.61	3	00:38	agent-leak-app-
2026-07-19T09:04:35+00:00	7123	SNl	0.5	349812	341.61	3	00:39	agent-leak-app-
2026-07-19T09:04:36+00:00	7123	SNl	0.5	349812	341.61	3	00:40	agent-leak-app-
2026-07-19T09:04:37+00:00	7123	SNl	0.5	349812	341.61	3	00:41	agent-leak-app-
2026-07-19T09:04:38+00:00	7123	SNl	0.5	375416	366.62	3	00:42	agent-leak-app-
2026-07-19T09:04:39+00:00	7123	SNl	0.5	375416	366.62	3	00:43	agent-leak-app-
2026-07-19T09:04:40+00:00	7123	SNl	0.5	375416	366.62	3	00:44	agent-leak-app-
2026-07-19T09:04:41+00:00	7123	SNl	0.5	401020	391.62	3	00:45	agent-leak-app-
